Logged at: 11:57:30, Action: Run application Agenda
Logged at: 11:57:35, Action: ShowEvents, Category: Concert
Logged at: 11:57:46, Action: ShowEvents, Category: All
Logged at: 17:45:26, Action: Run application Agenda
Logged at: 17:45:41, Action: ShowEvents, Category: All
Logged at: 17:46:27, Action: AddCategory, Category:Test
Logged at: 17:48:13, Action: Run application Agenda
Logged at: 17:48:32, Action: AddCategory, Category:Test
Logged at: 17:48:47, Action: ShowEvents, Category: All
Logged at: 17:50:16, Action: AddEvent, Category: Trip, Days: 5, Transport: 200.0, Hotel: 1000.0, Extra budged1000.0, Attractions: una;doua, When: 2020-07-22, Where: Bucegi, Time: 12:00, Event name: Excursie la munte
Logged at: 17:50:50, Action: ShowEvents, Category: All
Logged at: 17:51:07, Action: ShowEvents, Category: Trip
Logged at: 17:52:22, Action: AddEvent, Category: Birthday, Whose: A mea, Gift: Un Harley :))), Event name: ZIua de nastere, When: 2020-04-19, Where: Acasa, Time: 12:00
Logged at: 17:52:33, Action: ShowEvents, Category: All
Logged at: 17:53:13, Action: Run application Agenda
Logged at: 17:53:19, Action: ShowEvents, Category: All
Logged at: 20:06:51, Action: Run application Agenda
Logged at: 20:08:02, Action: AddEvent, Category: Exam, Subject studied: wdwdw, When: 1999-08-21, Where: dw, Time: wdw, Event name: dd
Logged at: 20:12:14, Action: Run application Agenda
Logged at: 20:13:27, Action: ShowEvents, Category: Birthday
Logged at: 21:12:59, Action: Run application Agenda
Logged at: 21:14:17, Action: AddEvent, Category: Birthday, Whose: Mihaela, Gift: me, Event name: Mihaela Birthday, When: 1999-05-26, Where: Home, Time: 12:20
Logged at: 21:16:27, Action: Run application Agenda
Logged at: 21:16:56, Action: AddEvent, Category: Birthday, Whose: Mihaela, Gift: me, Event name: Mihaela birthday, When: 2020-05-26, Where: Home, Time: 12:20
Logged at: 14:29:00, Action: Run application Agenda
Logged at: 14:29:51, Action: AddEvent, Category: Birthday, Whose: Cosmin, Gift: House, Event name: COsmin Birthday, When: 2020-08-21, Where: Home, Time: 12:30
Logged at: 14:30:53, Action: AddEvent, Category: Trip, Days: 4, Transport: 12.0, Hotel: 130.0, Extra budged130.0, Attractions: Lac;Munte, When: 2020-08-21, Where: Bucegi, Time: 11:00, Event name: Bucegi
Logged at: 14:38:48, Action: Run application Agenda
Logged at: 14:38:57, Action: ShowEvents, Category: Trip
Logged at: 14:39:09, Action: ShowEvents, Category: Birthday
Logged at: 14:46:31, Action: AddEvent, Category: Trip, Days: 4, Transport: 12.0, Hotel: 120.0, Extra budged120.0, Attractions: Padure;Pesteri, When: 2020-08-21, Where: Bucegi, Time: 11:00, Event name: Excursie la munte
Logged at: 14:46:53, Action: ShowEvents, Category: Trip
Logged at: 19:24:34, Action: Run application Agenda
Logged at: 19:28:35, Action: Run application Agenda
Logged at: 19:36:12, Action: Run application Agenda
Logged at: 19:36:22, Action: AddCategory, Category:Concert
Logged at: 19:37:31, Action: AddEvent, Category: Trip, Days: 4, Transport: 23.0, Hotel: 123.0, Extra budged123.0, Attractions: Lac;Padure;Pesteri, When: 2020-08-21, Where: Bucegi, Time: 11:00, Event name: Excursie la munte
Logged at: 19:39:41, Action: Run application Agenda
Logged at: 19:40:23, Action: AddEvent, Category: Trip, Days: 4, Transport: 132.0, Hotel: 345.0, Extra budged345.0, Attractions: Padure;lac, When: 2020-08-21, Where: Bucegi, Time: 11:00, Event name: Excursiee
Logged at: 19:40:34, Action: ShowEvents, Category: Birthday
Logged at: 19:40:38, Action: ShowEvents, Category: Trip
Logged at: 12:55:54, Action: Run application Agenda
Logged at: 12:57:52, Action: Run application Agenda
Logged at: 13:09:57, Action: Run application Agenda
Logged at: 13:10:27, Action: ShowEvents, Category: Exam
Logged at: 13:11:39, Action: ShowEvents, Category: All
Logged at: 13:12:05, Action: ShowEvents, Category: All
Logged at: 13:12:37, Action: ShowEvents, Category: Trip
Logged at: 13:14:52, Action: Run application Agenda
Logged at: 13:20:30, Action: Run application Agenda
Logged at: 13:21:58, Action: AddEvent, Category: Trip, Days: 23, Transport: 2332.0, Hotel: 2232.0, Extra budged2232.0, Attractions: dd;ss, When: 2020-09-21, Where: ddd, Time: 12:30, Event name: ddd
Logged at: 13:22:13, Action: ShowEvents, Category: Trip
Logged at: 19:06:14, Action: Run application Agenda
Logged at: 19:06:58, Action: ShowEvents, Category: All
Logged at: 19:08:19, Action: AddEvent, Category: Trip, Days: 4, Transport: 234.0, Hotel: 2343.0, Extra budged2343.0, Attractions: Una;doua, When: 2020-08-21, Where: Munte, Time: 21:00, Event name: Excursie
Logged at: 19:08:19, Action: EditEvent, Category: Trip, Event name: Excursie
Logged at: 19:08:28, Action: ShowEvents, Category: Trip
Logged at: 19:14:55, Action: AddEvent, Category: Trip, Days: 2, Transport: 234.0, Hotel: 123.0, Extra budged123.0, Attractions: Munte;Lac, When: 2020-09-21, Where: Munte, Time: 22:00, Event name: Plimbare
Logged at: 19:14:55, Action: EditEvent, Category: Trip, Event name: Excursie
Logged at: 19:18:32, Action: Run application Agenda
Logged at: 19:19:31, Action: AddEvent, Category: Trip, Days: 2, Transport: 12.0, Hotel: 1212.0, Extra budged1212.0, Attractions: da;da, When: 1999-08-21, Where: Munte, Time: 21:00, Event name: Plimbare
Logged at: 19:19:31, Action: EditEvent, Category: Trip, Event name: ddd
